image_index,true_label,epsilon,already_misclassified,initial_pred,final_pred,attack_successful
0,2,0.01,False,2,4,True
0,2,0.02,False,2,4,True
0,2,0.05,False,2,4,True
0,2,0.1,False,2,4,True
0,2,0.15,False,2,1,True
0,2,0.2,False,2,4,True
0,2,0.3,False,2,4,True
1,5,0.01,False,5,5,False
1,5,0.02,False,5,4,True
1,5,0.05,False,5,4,True
1,5,0.1,False,5,6,True
1,5,0.15,False,5,6,True
1,5,0.2,False,5,6,True
1,5,0.3,False,5,6,True
2,5,0.01,False,5,4,True
2,5,0.02,False,5,4,True
2,5,0.05,False,5,4,True
2,5,0.1,False,5,6,True
2,5,0.15,False,5,2,True
2,5,0.2,False,5,2,True
2,5,0.3,False,5,2,True
3,5,0.01,False,5,4,True
3,5,0.02,False,5,4,True
3,5,0.05,False,5,2,True
3,5,0.1,False,5,2,True
3,5,0.15,False,5,2,True
3,5,0.2,False,5,2,True
3,5,0.3,False,5,2,True
4,5,0.01,False,5,5,False
4,5,0.02,False,5,5,False
4,5,0.05,False,5,5,False
4,5,0.1,False,5,5,False
4,5,0.15,False,5,5,False
4,5,0.2,False,5,4,True
4,5,0.3,False,5,4,True
5,5,0.01,False,5,4,True
5,5,0.02,False,5,4,True
5,5,0.05,False,5,4,True
5,5,0.1,False,5,6,True
5,5,0.15,False,5,6,True
5,5,0.2,False,5,6,True
5,5,0.3,False,5,6,True
6,1,0.01,False,1,2,True
6,1,0.02,False,1,2,True
6,1,0.05,False,1,2,True
6,1,0.1,False,1,2,True
6,1,0.15,False,1,2,True
6,1,0.2,False,1,2,True
6,1,0.3,False,1,2,True
7,5,0.01,False,5,5,False
7,5,0.02,False,5,4,True
7,5,0.05,False,5,6,True
7,5,0.1,False,5,6,True
7,5,0.15,False,5,6,True
7,5,0.2,False,5,6,True
7,5,0.3,False,5,6,True
8,5,0.01,False,5,5,False
8,5,0.02,False,5,5,False
8,5,0.05,False,5,5,False
8,5,0.1,False,5,5,False
8,5,0.15,False,5,5,False
8,5,0.2,False,5,5,False
8,5,0.3,False,5,5,False
9,4,0.01,True,6,,False
9,4,0.02,True,6,,False
9,4,0.05,True,6,,False
9,4,0.1,True,6,,False
9,4,0.15,True,6,,False
9,4,0.2,True,6,,False
9,4,0.3,True,6,,False
10,3,0.01,False,3,2,True
10,3,0.02,False,3,0,True
10,3,0.05,False,3,6,True
10,3,0.1,False,3,6,True
10,3,0.15,False,3,6,True
10,3,0.2,False,3,6,True
10,3,0.3,False,3,6,True
11,2,0.01,False,2,6,True
11,2,0.02,False,2,6,True
11,2,0.05,False,2,6,True
11,2,0.1,False,2,6,True
11,2,0.15,False,2,6,True
11,2,0.2,False,2,6,True
11,2,0.3,False,2,6,True
12,5,0.01,False,5,5,False
12,5,0.02,False,5,5,False
12,5,0.05,False,5,4,True
12,5,0.1,False,5,4,True
12,5,0.15,False,5,4,True
12,5,0.2,False,5,4,True
12,5,0.3,False,5,6,True
13,5,0.01,False,5,5,False
13,5,0.02,False,5,1,True
13,5,0.05,False,5,6,True
13,5,0.1,False,5,6,True
13,5,0.15,False,5,2,True
13,5,0.2,False,5,2,True
13,5,0.3,False,5,2,True
14,5,0.01,False,5,4,True
14,5,0.02,False,5,4,True
14,5,0.05,False,5,2,True
14,5,0.1,False,5,0,True
14,5,0.15,False,5,2,True
14,5,0.2,False,5,2,True
14,5,0.3,False,5,2,True
15,6,0.01,False,6,4,True
15,6,0.02,False,6,4,True
15,6,0.05,False,6,4,True
15,6,0.1,False,6,2,True
15,6,0.15,False,6,2,True
15,6,0.2,False,6,2,True
15,6,0.3,False,6,2,True
16,5,0.01,False,5,1,True
16,5,0.02,False,5,1,True
16,5,0.05,False,5,1,True
16,5,0.1,False,5,1,True
16,5,0.15,False,5,6,True
16,5,0.2,False,5,6,True
16,5,0.3,False,5,6,True
17,1,0.01,False,1,0,True
17,1,0.02,False,1,0,True
17,1,0.05,False,1,0,True
17,1,0.1,False,1,0,True
17,1,0.15,False,1,0,True
17,1,0.2,False,1,0,True
17,1,0.3,False,1,6,True
18,5,0.01,False,5,5,False
18,5,0.02,False,5,4,True
18,5,0.05,False,5,4,True
18,5,0.1,False,5,2,True
18,5,0.15,False,5,2,True
18,5,0.2,False,5,2,True
18,5,0.3,False,5,2,True
19,4,0.01,False,4,6,True
19,4,0.02,False,4,6,True
19,4,0.05,False,4,6,True
19,4,0.1,False,4,1,True
19,4,0.15,False,4,1,True
19,4,0.2,False,4,1,True
19,4,0.3,False,4,5,True
